Index Type X Y Z Radius Parent
378 6 -43.4 47.15 15.39 0.25 377
379 6 -43.4 47.25 15.52 0.25 378
380 6 -43.56 47.58 16.01 0.25 379
381 6 -43.56 47.61 16.2 0.25 380
382 6 -43.63 47.7 16.29 0.25 381
383 6 -45.65 50.02 16.31 0.25 382
384 6 -45.74 50.06 16.39 0.25 383
385 6 -45.65 50.18 16.46 0.25 384
386 6 -45.75 50.2 16.54 0.25 385
387 6 -45.7 50.33 16.71 0.25 386
388 6 -45.75 50.34 16.84 0.25 387
389 6 -45.63 50.36 16.92 0.25 388
390 6 -45.68 50.4 17.04 0.25 389
391 6 -45.68 50.4 17.12 0.25 390
392 6 -45.68 50.4 17.2 0.25 391
393 6 -45.68 50.4 17.29 0.25 392
394 6 -45.58 50.45 17.44 0.25 393
395 6 -45.54 50.52 17.54 0.25 394
396 6 -45.54 50.52 17.63 0.25 395
397 6 -45.45 50.5 17.77 0.25 396
398 6 -45.36 50.58 17.95 0.25 397
399 6 -45.43 50.75 18.22 0.25 398
400 6 -45.43 50.99 18.37 0.25 399
401 6 -45.52 51.02 18.52 0.25 400
402 6 -45.52 51.02 18.61 0.25 401
403 6 -45.52 51.02 18.63 0.25 402
404 6 -45.52 51.02 18.69 0.25 403
405 6 -45.54 51.13 18.84 0.25 404
406 6 -45.59 51.25 18.92 0.25 405
407 6 -45.63 51.38 19.14 0.25 406
408 6 -45.63 51.45 19.22 0.25 407
409 6 -45.61 51.54 19.31 0.25 408
410 6 -45.84 51.7 19.39 0.25 409
411 6 -45.61 51.75 19.44 0.25 410
412 6 -45.63 51.72 19.52 0.25 411
413 6 -45.7 51.75 19.63 0.25 412
414 6 -45.68 51.74 19.71 0.25 413
415 6 -45.65 51.68 19.79 0.25 414
416 6 -45.63 51.68 19.87 0.25 415
417 6 -45.7 51.61 19.95 0.25 416
418 6 -45.61 51.56 20.09 0.25 417
419 6 -45.59 51.65 20.14 0.25 418
420 6 -47.79 52.93 20.29 0.25 410
421 6 -47.4 52.95 20.37 0.25 420
422 6 -47.54 53.34 20.52 0.25 421
423 6 -47.75 53.43 20.61 0.25 422
424 6 -47.75 53.45 20.69 0.25 423
425 6 -47.75 53.43 20.77 0.25 424
426 6 -47.72 53.47 20.84 0.25 425
427 6 -47.72 53.4 20.92 0.25 426
428 6 -47.65 53.45 21.04 0.25 427
429 6 -47.63 53.5 21.14 0.25 428
430 6 -47.65 53.58 21.22 0.25 429
431 6 -47.61 53.61 21.37 0.25 430
432 6 -47.63 53.59 21.44 0.25 431
433 6 -47.61 53.68 21.61 0.25 432
434 6 -47.63 53.75 21.69 0.25 433
435 6 -47.7 53.74 21.79 0.25 434
436 6 -47.63 53.72 21.87 0.25 435
437 6 -47.4 53.65 21.95 0.25 436
438 6 -47.65 53.84 22.12 0.25 437
439 6 -47.56 53.99 22.19 0.25 438
440 6 -47.5 54.09 22.2 0.25 439
441 6 -47.38 54.38 22.29 0.25 440
442 6 -47.38 54.38 22.37 0.25 441
443 6 -47.4 54.38 22.52 0.25 442
444 6 -47.43 54.38 22.61 0.25 443
445 6 -47.06 55.06 22.39 0.25 444
446 6 -47.06 55.06 22.37 0.25 445
447 6 -47.02 55.04 22.29 0.25 446
448 6 -47.08 54.99 22.22 0.25 447
449 6 -47.25 55.15 22.44 0.25 445
450 6 -47.08 55.13 22.46 0.25 449
451 6 -47.04 55.15 22.54 0.25 450
452 6 -47.04 55.15 22.63 0.25 451
453 6 -44.7 57.75 22.71 0.25 452
454 6 -44.68 57.84 22.79 0.25 453
455 6 -44.7 57.95 22.87 0.25 454
456 6 -44.65 60.54 23.01 0.25 455
457 6 -44.65 60.63 23.09 0.25 456
458 6 -44.65 60.63 23.14 0.25 457
459 6 -44.65 60.63 23.22 0.25 458
460 6 -44.65 60.63 23.31 0.25 459
461 6 -44.65 60.63 23.39 0.25 460
462 6 -44.65 60.63 23.46 0.25 461
463 6 -44.63 60.75 23.54 0.25 462
464 6 -44.68 60.81 23.69 0.25 463
465 6 -44.7 60.7 23.79 0.25 464
466 6 -44.65 60.68 23.92 0.25 465
467 6 -44.65 60.77 24.14 0.25 466
468 6 -44.59 60.84 24.29 0.25 467
469 6 -44.59 60.84 24.37 0.25 468
470 6 -44.49 60.95 24.44 0.25 469
471 6 -44.47 61.09 24.52 0.25 470
472 6 -44.45 61.11 24.61 0.25 471
473 6 -44.4 61.15 24.69 0.25 472
474 6 -44.29 61.31 24.79 0.25 473
475 6 -44.27 61.36 24.87 0.25 474
476 6 -44.33 61.34 24.95 0.25 475
477 6 -44.29 61.4 25.04 0.25 476
478 6 -44.18 61.7 25.14 0.25 477
479 6 -44.06 61.77 25.22 0.25 478
480 6 -44.18 61.84 25.37 0.25 479
481 6 -44.18 61.88 25.46 0.25 480
482 6 -44.02 61.86 25.54 0.25 481
483 6 -44.02 61.86 25.63 0.25 482
484 6 -43.97 62 25.71 0.25 483
485 6 -43.97 62.08 25.84 0.25 484
486 6 -43.9 62.09 25.92 0.25 485
487 6 -43.88 62.15 26.01 0.25 486
488 6 -43.88 62.15 26.09 0.25 487
489 6 -43.77 62.27 26.2 0.25 488
490 6 -43.75 62.27 26.29 0.25 489
491 6 -43.61 62.45 26.39 0.25 490
492 6 -43.65 62.5 26.52 0.25 491
493 6 -43.65 62.52 26.61 0.25 492
494 6 -43.61 62.61 26.71 0.25 493
495 6 -43.65 62.68 26.79 0.25 494
496 6 -43.63 62.75 26.87 0.25 495
497 6 -43.47 62.9 27.01 0.25 496
498 6 -43.52 62.93 27.09 0.25 497
499 6 -43.43 63.11 27.2 0.25 498
500 6 -43.4 63.13 27.29 0.25 499
501 6 -43.4 63.18 27.37 0.25 500
502 6 -43.31 63.29 27.44 0.25 501
503 6 -43.24 63.34 27.63 0.25 502
504 6 -43.25 63.31 27.71 0.25 503
505 6 -43.09 63.45 27.79 0.25 504
506 6 -43.04 63.56 27.87 0.25 505
507 6 -42.88 63.56 27.95 0.25 506
508 6 -42.97 63.56 28.09 0.25 507
509 6 -42.93 63.75 28.14 0.25 508
510 6 -42.83 63.81 28.22 0.25 509
511 6 -42.9 63.9 28.31 0.25 510
512 6 -42.86 63.97 28.39 0.25 511
513 6 -42.38 64.01 28.77 0.25 512
514 6 -42.31 64.12 28.84 0.25 513
515 6 -41.97 64.8 29.12 0.25 514
516 6 -41.81 65.08 29.2 0.25 515
517 6 -41.59 65.16 29.31 0.25 516
518 6 -41.58 65.37 29.39 0.25 517
519 6 -41.4 65.5 29.46 0.25 518
520 6 -41.29 65.58 29.61 0.25 519
521 6 -41.2 65.65 29.69 0.25 520
522 6 -41.09 65.83 29.79 0.25 521
523 6 -41.09 65.83 29.87 0.25 522
524 6 -41 65.94 29.95 0.25 523
525 6 -40.95 66.01 30.04 0.25 524
526 6 -40.95 66.01 30.12 0.25 525
527 6 -40.68 65.94 30.37 0.25 526
528 6 -40.68 65.94 30.44 0.25 527
529 6 -40.5 65.94 30.54 0.25 528
530 6 -40.4 65.94 30.63 0.25 529
531 6 -40.29 66.12 30.77 0.25 530
532 6 -40.29 66.12 30.84 0.25 531
533 6 -40.31 66.19 30.95 0.25 532
534 6 -40.2 66.3 31.04 0.25 533
535 6 -40.06 66.44 31.2 0.25 534
536 6 -40.04 66.44 31.29 0.25 535
537 6 -39.9 66.51 31.39 0.25 536
538 6 -39.72 66.62 31.54 0.25 537
539 6 -39.77 66.76 31.63 0.25 538
540 6 -39.68 66.8 31.71 0.25 539
541 6 -39.43 66.93 31.84 0.25 540
542 6 -38.4 66.51 31.92 0.25 541
543 6 -38.09 66.08 32.04 0.25 542
544 6 -38 66.05 32.11 0.25 543
545 6 -38 66.05 32.2 0.25 544
546 6 -37.84 66.12 32.29 0.25 545
547 6 -37.68 66.19 32.4 0.25 546
548 6 -37.54 66.16 32.52 0.25 547
549 6 -37.33 66.08 32.61 0.25 548
550 6 -37.11 65.9 32.72 0.25 549
551 6 -37.02 65.83 32.79 0.25 550
552 6 -36.88 65.69 32.88 0.25 551
553 6 -36.79 65.69 32.97 0.25 552
554 6 -36.77 65.62 33.04 0.25 553
555 6 -36.68 65.62 33.24 0.25 554
556 6 -36.65 65.55 33.33 0.25 555
557 6 -36.54 65.44 33.4 0.25 556
558 6 -36.56 65.41 33.47 0.25 557
559 6 -36.52 65.37 33.56 0.25 558
560 6 -35.47 65.05 33.72 0.25 559
561 6 -35.38 65.05 33.84 0.25 560
562 6 -35.38 65.05 33.9 0.25 561
563 6 -35.22 64.87 34.11 0.25 562
564 6 -35.15 64.83 34.2 0.25 563
565 6 -34.95 64.73 34.29 0.25 564
566 6 -34.81 64.66 34.36 0.25 565
567 6 -34.81 64.66 34.4 0.25 566
568 6 -34.81 64.66 34.43 0.25 567
569 6 -34.77 64.54 34.52 0.25 568
570 6 -34.77 64.54 34.61 0.25 569
571 6 -34.77 64.58 34.72 0.25 570
572 6 -34.75 64.55 34.79 0.25 571
573 6 -34.75 64.55 34.88 0.25 572
574 6 -34.75 64.55 34.97 0.25 573
575 6 -34.65 64.54 35.04 0.25 574
576 6 -34.7 64.51 35.11 0.25 575
577 6 -34.75 64.55 35.2 0.25 576
578 6 -34.77 64.51 35.29 0.25 577
579 6 -33.56 63.31 35.36 0.25 578
580 6 -33.65 63.27 35.43 0.25 579
581 6 -33.65 63.27 35.52 0.25 580
582 6 -33.65 63.22 35.61 0.25 581
583 6 -33.61 63.15 35.68 0.25 582
584 6 -33.61 63.11 35.77 0.25 583
585 6 -33.61 63.11 35.84 0.25 584
586 6 -33.61 63.08 35.9 0.25 585
587 6 -33.68 63.11 36 0.25 586
588 6 -33.68 63.11 36.09 0.25 587
589 6 -33.7 63.06 36.15 0.25 588
590 6 -33.75 63.04 36.24 0.25 589
591 6 -33.72 62.97 36.33 0.25 590
592 6 -33.61 62.9 36.4 0.25 591
593 6 -33.63 62.9 36.47 0.25 592
594 6 -33.58 62.86 36.56 0.25 593
595 6 -33.63 62.81 36.65 0.25 594
596 6 -33.61 62.75 36.72 0.25 595
597 6 -33.59 62.72 36.79 0.25 596
598 6 -33.59 62.7 36.88 0.25 597
599 6 -33.59 62.7 36.97 0.25 598
600 6 -33.49 62.68 37.04 0.25 599
601 6 -33.49 62.68 37.11 0.25 600
602 6 -33.49 62.68 37.2 0.25 601
603 6 -33.52 62.7 37.36 0.25 602
604 6 -33.45 62.74 37.33 0.25 603
605 6 -34.06 62.77 37.4 0.25 604
606 6 -34.27 62.77 37.33 0.25 605
607 6 -34.31 62.86 37.15 0.25 606
608 6 -34.25 62.81 37.11 0.25 607
609 6 -33.4 62.7 37.4 0.25 603
610 6 -33.43 62.95 37.47 0.25 609
